site,notes,id,type,population,achmol,agohet,anaarv,ancfil,athpus,avefat,brodia,broele,brohor,bromad,bunchgrass_spp,callut,calpau,cenmel,clagra,clapur,colspa,daupus,diccap,dissected leaf,epibra,eupcre,galapa,giltri,gitspe,gricam,hemcon,hesmic,hormur,lacsal,lascal,linbic,long hordeum,lothum,lotpur,miccal,micdou,navjep,navpub (carrot?),plaere,poasec,siddip,sisbel,taecap,tribif,trifolium_spp,vicvil,vulmic,zigfre
18,,539,lambda,yellow,0,0,2,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,,540,lambda,yellow,0,0,3,0,0,0,2,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
18,,541,lambda,yellow,0,0,1,0,0,1,0,0,41,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,,542,lambda,grey,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
18,,543,lambda,grey,0,0,1,0,0,1,2,0,30,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,,544,lambda,grey,0,0,0,1,0,3,1,0,22,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,,545,lambda,green,0,0,1,0,0,0,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
18,,546,lambda,green,0,0,0,0,0,0,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,,547,lambda,green,0,0,0,0,0,1,2,0,30,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0
18,,548,lambda,red,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,,549,lambda,red,0,0,3,0,0,2,4,0,31,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,,550,lambda,red,0,0,1,0,0,1,1,0,13,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,,551,lambda,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
