site,notes,id,type,population,agohet,avefat,brohor,bromad,callut,calpau,cenmel,clagra,cuscal,diccap,epibra,hemcon,horbra,lacsal,lacser,lascal,lepnit,linbic,lolmul,lothum,lotwra,medicago,micdou,mullen,navjep,phlgra,plaere,poasec,taecap,trialb,tribif,trifuc,vulmic,vulmyr,dissected
,,78,lambda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,79,lambda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,80,lambda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,,81,alpha,green,0,0,13,0,0,0,0,9,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,19,0,0
6,,82,alpha,green,0,0,18,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,8,0,0
6,,83,alpha,green,0,0,5,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0
6,,84,alpha,grey,0,0,23,0,0,0,0,6,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,12,0,0
6,,85,alpha,grey,0,0,13,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,5,0,0
6,,86,alpha,grey,0,0,16,0,0,0,0,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,2,0,0
6,,87,alpha,yellow,1,0,34,0,0,0,0,12,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,14,0,0
6,,88,alpha,yellow,0,0,21,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,3,0,9,0,0
6,,89,alpha,yellow,0,0,14,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,7,0,0
6,,90,alpha,red,0,0,40,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,1,0,0
6,,91,alpha,red,0,0,38,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,2,0,0
6,,92,alpha,red,0,0,50,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,7,0,0
6,,93,alpha,green,0,0,44,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,12,0,0
6,,94,alpha,green,0,0,24,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,12,0,0
